Summary,Description,Issue Type,Priority,Labels,Original Estimate
"Phase 1: Setup Docker Environment","Create docker-compose.yml for FastAPI, PostgreSQL, and Redis. Ensure containers communicate.","Task","High","Infrastructure, DevOps","4h"
"Phase 1: Configure Database Schema","Set up SQLAlchemy models for User, Document, Analysis, Template. Initialize Alembic for migrations.","Task","High","Backend, Database","6h"
"Phase 1: Python Project Init","Initialize Poetry/Pip project. Setup folder structure (app/api, app/core, app/models).","Task","Medium","Backend","2h"
"Phase 2: Implement User Model","Create SQLAlchemy User model with password hashing (bcrypt).","Sub-task","High","Backend, Auth","3h"
"Phase 2: JWT Authentication","Implement OAuth2 flow with Password Bearer. Create /login and /register endpoints. middleware for token validation.","Task","High","Backend, Auth","8h"
"Phase 3: File Upload Endpoint","Create POST /api/documents/upload. Handle Multipart upload. Save to local/S3. Store metadata in DB.","Task","High","Backend, Core","6h"
"Phase 3: Text Extraction Service","Implement service class using PyMuPDF and Tesseract. Extract text from PDF bytes.","Task","High","Backend, OCR","8h"
"Phase 3: Async Task Queue","Setup Celery or FastAPI BackgroundTasks to handle OCR/Analysis asynchronously to avoid timeouts.","Task","Medium","Backend, Performance","5h"
"Phase 4: OpenAI Integration","Configure OpenAI Client. Create base prompt templates for Legal Analysis (Summary, Requests, Laws).","Task","High","AI, Backend","6h"
"Phase 4: Analysis Pipeline","Create logic to chunk text, send to GPT-4, and parse JSON response into Analysis model.","Task","High","AI, Core","10h"
"Phase 4: Analysis API Endpoints","Create GET /api/analyses/{id} and POST /api/analyses/create.","Task","Medium","Backend, API","4h"
"Phase 5: Docx Template Parser","Implement python-docx logic to read .docx files and identify variable placeholders.","Task","Medium","Backend, DocGen","6h"
"Phase 5: Defense Generation Logic","Logic to map Analysis data + User Input -> Template Placeholders. Generate final .docx.","Task","High","Backend, DocGen","10h"
"Phase 6: Frontend API Client","Create Axios instance with Interceptors for JWT handling. Define API service methods.","Task","Medium","Frontend","4h"
"Phase 6: Integrate Auth Frontend","Connect Login/Register pages to backend. Handle Token storage and redirects.","Task","High","Frontend, Auth","6h"
"Phase 6: Integrate Document List","Replace mock data in Dashboard with GET /api/documents calls.","Task","Medium","Frontend","4h"
"Phase 6: Integrate Analysis Flow","Connect Petition Analysis page to backend. Handle Loading states and Polling for completion.","Task","High","Frontend","8h"
"Phase 6: Integrate Generation Flow","Connect Defense Generation page. Send form data to backend, handle file download blob.","Task","High","Frontend","8h"
